Employee_ID,Department,Age,Salary,Experience_Years,Performance_Score,Hire_Date
68,HR,47,86250,21,5,2017-11-10 02:10:54.545454528
69,Marketing,29,102082,32,4,2018-01-19 04:21:49.090909056
70,IT,35,64754,23,2,2018-03-30 06:32:43.636363584
71,IT,35,41411,33,2,2018-06-08 08:43:38.181818176
72,IT,46,32911,3,5,2018-08-17 10:54:32.727272704
73,HR,62,97270,18,4,2018-10-26 13:05:27.272727232
74,IT,33,113763,25,1,2019-01-04 15:16:21.818181760
75,HR,52,38680,31,5,2019-03-15 17:27:16.363636352
76,IT,59,114896,3,2,2019-05-24 19:38:10.909090880
77,Marketing,52,113879,24,2,2019-08-02 21:49:05.454545408
78,Marketing,24,101295,32,5,2019-10-11 23:59:59.999999936
79,Finance,50,118614,22,4,2019-12-21 02:10:54.545454528
80,Marketing,57,41111,23,2,2020-02-29 04:21:49.090909056
81,Finance,43,67504,2,4,2020-05-09 06:32:43.636363584
82,Marketing,59,31802,27,2,2020-07-18 08:43:38.181818176
83,HR,35,38155,2,2,2020-09-26 10:54:32.727272704
84,Marketing,63,103656,26,3,2020-12-05 13:05:27.272727232
85,Finance,49,69384,17,2,2021-02-13 15:16:21.818181760
86,Finance,56,77254,33,1,2021-04-24 17:27:16.363636352
87,IT,33,51918,9,5,2021-07-03 19:38:10.909090880
88,HR,52,115981,39,5,2021-09-11 21:49:05.454545408
89,Marketing,27,90713,29,4,2021-11-20 23:59:59.999999936
90,IT,42,60306,26,2,2022-01-30 02:10:54.545454528
91,Marketing,48,46646,35,1,2022-04-10 04:21:49.090909056
92,Marketing,22,76843,25,4,2022-06-19 06:32:43.636363584
93,IT,62,46371,24,3,2022-08-28 08:43:38.181818112
94,IT,26,107371,13,4,2022-11-06 10:54:32.727272704
95,IT,48,32049,7,4,2023-01-15 13:05:27.272727232
96,IT,48,61616,36,2,2023-03-26 15:16:21.818181760
97,IT,64,50932,20,3,2023-06-04 17:27:16.363636352
98,Marketing,64,59855,1,4,2023-08-13 19:38:10.909090816
99,IT,40,91434,8,1,2023-10-22 21:49:05.454545408
100,HR,50,102694,16,1,2024-01-01 00:00:00.000000000
